requirement,clauses,implementation,test
FR-C3-08,ISO/IEC 17025:2017 7.10,backend/apps/notifications/messages.py:136; backend/apps/testing/ingestion.py:54; backend/apps/testing/models.py:134; backend/apps/testing/serializers.py:19; backend/apps/testing/migrations/0001_initial.py:108,backend/tests/test_semantic_invariants.py::test_a_malformed_limit_refuses_the_result_rather_than_skipping_the_check
FR-C3-08,ISO/IEC 17025:2017 7.10,backend/apps/notifications/messages.py:136; backend/apps/testing/ingestion.py:54; backend/apps/testing/models.py:134; backend/apps/testing/serializers.py:19; backend/apps/testing/migrations/0001_initial.py:108,backend/tests/test_semantic_invariants.py::test_a_min_above_max_would_have_flagged_every_result
FR-C3-08,ISO/IEC 17025:2017 7.10,backend/apps/notifications/messages.py:136; backend/apps/testing/ingestion.py:54; backend/apps/testing/models.py:134; backend/apps/testing/serializers.py:19; backend/apps/testing/migrations/0001_initial.py:108,backend/tests/test_semantic_invariants.py::test_a_test_method_cannot_store_unusable_specification_limits
FR-C3-08,ISO/IEC 17025:2017 7.10,backend/apps/notifications/messages.py:136; backend/apps/testing/ingestion.py:54; backend/apps/testing/models.py:134; backend/apps/testing/serializers.py:19; backend/apps/testing/migrations/0001_initial.py:108,backend/tests/test_semantic_invariants.py::test_usable_specification_limits_are_still_accepted
FR-C3-08,ISO/IEC 17025:2017 7.10,backend/apps/notifications/messages.py:136; backend/apps/testing/ingestion.py:54; backend/apps/testing/models.py:134; backend/apps/testing/serializers.py:19; backend/apps/testing/migrations/0001_initial.py:108,backend/tests/test_testing_competency_and_oos.py::test_certified_analyst_can_enter_result
FR-C3-08,ISO/IEC 17025:2017 7.10,backend/apps/notifications/messages.py:136; backend/apps/testing/ingestion.py:54; backend/apps/testing/models.py:134; backend/apps/testing/serializers.py:19; backend/apps/testing/migrations/0001_initial.py:108,backend/tests/test_testing_competency_and_oos.py::test_client_supplied_is_out_of_spec_is_ignored
FR-C3-08,ISO/IEC 17025:2017 7.10,backend/apps/notifications/messages.py:136; backend/apps/testing/ingestion.py:54; backend/apps/testing/models.py:134; backend/apps/testing/serializers.py:19; backend/apps/testing/migrations/0001_initial.py:108,backend/tests/test_testing_competency_and_oos.py::test_expired_standard_reagent_is_rejected
FR-C3-08,ISO/IEC 17025:2017 7.10,backend/apps/notifications/messages.py:136; backend/apps/testing/ingestion.py:54; backend/apps/testing/models.py:134; backend/apps/testing/serializers.py:19; backend/apps/testing/migrations/0001_initial.py:108,backend/tests/test_testing_competency_and_oos.py::test_out_of_spec_value_is_auto_flagged
FR-C3-08,ISO/IEC 17025:2017 7.10,backend/apps/notifications/messages.py:136; backend/apps/testing/ingestion.py:54; backend/apps/testing/models.py:134; backend/apps/testing/serializers.py:19; backend/apps/testing/migrations/0001_initial.py:108,backend/tests/test_testing_competency_and_oos.py::test_uncertified_analyst_is_blocked_from_entering_a_result
FR-C4-04,,backend/apps/samples/models.py:138; backend/apps/samples/views.py:190; backend/apps/testing/models.py:84,
FR-C4-05,,backend/apps/testing/models.py:134; backend/apps/testing/migrations/0001_initial.py:108,
FR-C5-01,ASTM E1578-18 6.6.1; Blueprint Section 2.1,backend/apps/samples/models.py:143; backend/apps/samples/views.py:220,
FR-C5-04,Blueprint Section 3.1,backend/apps/accounts/models.py:190; backend/apps/accounts/services.py:2,
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_a_client_supplied_file_id_and_status_are_ignored
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_a_coa_renders_the_sample_and_its_results
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_a_failed_report_reports_why
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_a_failure_is_recorded_on_the_row_and_re_raised
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_a_missing_context_key_fails_loudly
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_a_missing_template_fails_the_report_rather_than_hanging_it
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_a_multi_analyte_coa_labels_each_row
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_a_pending_report_answers_409_with_its_status
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_a_ready_report_returns_a_presigned_url
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_an_out_of_spec_result_is_marked_in_the_document
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_an_unknown_report_type_raises_rather_than_falling_back
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_creating_a_report_starts_it_pending_with_no_file
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_download_requires_authentication
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_every_report_type_has_a_template
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_it_produces_a_real_pdf_and_marks_the_report_ready
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_report_cannot_be_created_for_an_unapproved_sample
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_status_filter_actually_filters
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_templates_are_marked_as_drafts
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_the_list_includes_display_fields_a_ui_can_render
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_the_object_key_is_versioned_so_a_correction_cannot_overwrite_the_issued_pdf
FR-C6-03,Blueprint Section 8.3,backend/apps/reporting/serializers.py:9; backend/apps/reporting/views.py:32; frontend/src/pages/SampleDetail.tsx:324,backend/tests/test_report_generation.py::test_the_pipeline_uploads_a_retrievable_pdf
FR-D1-02,Blueprint Section 5.1; Blueprint Section 6,backend/apps/documents/views.py:4; frontend/src/pages/DocumentsList.tsx:39,
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,backend/tests/test_documents.py::test_approving_a_version_archives_prior_current_and_syncs_document
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,backend/tests/test_documents.py::test_write_requires_qa_officer_or_lab_supervisor_role
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:109 re-reads the document afterwards rather than patching one row
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:126 surfaces the server
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:143 suggests the next version number once the document has loaded
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:153 omits effective_date when left blank rather than sending an empty string
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:174 badges exactly one version as current
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:182 shows who approved each version
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:192 surfaces a load failure
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:60 hides approval and the new-version form from an analyst
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:67 shows them to a QA officer
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:75 shows them to a lab supervisor
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,frontend/src/pages/DocumentDetail.test.tsx:84 offers approval only on versions that are not already current
FR-D1-03,,backend/apps/documents/serializers.py:16; backend/apps/documents/views.py:61,"frontend/src/pages/DocumentDetail.test.tsx:93 posts against the version, not the document"
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_equipment_calibration.py::test_failing_calibration_marks_instrument_out_of_calibration
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_equipment_calibration.py::test_instrument_status_filter_returns_only_matching_instruments
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_equipment_calibration.py::test_passing_calibration_returns_instrument_to_in_service
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_a_calibration_cannot_be_recorded_as_performed_in_the_future
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_a_calibration_cannot_fall_due_before_it_was_performed
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_a_calibration_due_the_same_day_it_was_performed_is_allowed
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_a_session_cannot_end_before_it_starts
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_a_session_minimum_cannot_exceed_its_capacity
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_a_session_whose_minimum_equals_its_capacity_is_allowed
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_a_single_day_session_is_allowed
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_a_zero_invoice_is_deliberately_still_allowed
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_an_invoice_cannot_be_negative
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_an_ordinary_calibration_is_still_accepted
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,backend/tests/test_semantic_invariants.py::test_an_ordinary_session_is_still_accepted
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/EquipmentList.test.tsx:111 sends the CRM traceability reference and expiry the lab needs on file
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,"frontend/src/pages/EquipmentList.test.tsx:140 shows lot and expiry, which is what makes a reagent identifiable"
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/EquipmentList.test.tsx:54 hides both forms from an analyst
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/EquipmentList.test.tsx:60 shows them to an instrument custodian
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/EquipmentList.test.tsx:68 shows them to a lab supervisor
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,"frontend/src/pages/EquipmentList.test.tsx:75 hides them from a QA officer, who authorises retests but does not own equipment"
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/EquipmentList.test.tsx:85 asks the API for out-of-calibration instruments
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/EquipmentList.test.tsx:97 says so when nothing matches
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/InstrumentDetail.test.tsx:111 re-reads the instrument afterwards rather than assuming its status
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/InstrumentDetail.test.tsx:130 surfaces the server
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/InstrumentDetail.test.tsx:148 shows the current status and calibration due date
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/InstrumentDetail.test.tsx:155 lists who performed each calibration
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/InstrumentDetail.test.tsx:165 surfaces a load failure
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/InstrumentDetail.test.tsx:62 is hidden from an analyst
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/InstrumentDetail.test.tsx:68 is shown to an instrument custodian
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/InstrumentDetail.test.tsx:74 is shown to a lab supervisor
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/InstrumentDetail.test.tsx:80 stays available on an out-of-calibration instrument
FR-E3-02,,backend/apps/equipment/serializers.py:54; backend/apps/equipment/views.py:69,frontend/src/pages/InstrumentDetail.test.tsx:91 sends the result and next due date against this instrument
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,backend/tests/test_investigations.py::test_cannot_close_an_already_closed_investigation
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,backend/tests/test_investigations.py::test_close_sets_status_and_closed_at_atomically
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,backend/tests/test_investigations.py::test_related_sample_code_is_included_for_display
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,backend/tests/test_investigations.py::test_related_sample_filter_returns_only_that_samples_investigations
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,backend/tests/test_investigations.py::test_status_filter_supports_comma_separated_values
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,backend/tests/test_investigations.py::test_write_requires_qa_officer_or_lab_supervisor_role
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:105 prefills the form from what is already recorded
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:113 sends both fields together
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:139 posts to the close action rather than patching status
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:154 re-reads the investigation so closed_at and status arrive from the server
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:169 surfaces the server
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:188 surfaces a load failure
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:46 hides the form and the close button from an analyst
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:53 shows them to a QA officer
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:61 shows them to a lab supervisor
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,"frontend/src/pages/InvestigationDetail.test.tsx:77 offers no edit form, even to a QA officer"
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:86 offers no close button and says it is closed
FR-E9-01,Blueprint Section 6,backend/apps/investigations/views.py:2,frontend/src/pages/InvestigationDetail.test.tsx:94 still displays the recorded root cause and CAPA read-only
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_a_create_is_recorded_once_not_once_per_field
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_a_customer_session_is_derived_as_the_customer_actor
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_a_delete_is_recorded
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_a_save_that_changes_nothing_writes_nothing
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_a_staff_session_is_derived_as_the_staff_actor
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_a_staff_write_is_attributed_to_that_member_of_staff
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_a_system_write_is_attributed_to_the_system
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_a_task_run_inside_a_request_is_still_the_system
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_an_unaudited_model_writes_nothing
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_an_update_records_the_old_and_new_value
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_only_the_fields_that_changed_are_recorded
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_the_actor_does_not_survive_the_response
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_the_context_default_matches_the_models_own_enum
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_log_entries.py::test_the_report_pipeline_records_its_own_transitions
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_audit_retention.py::test_an_anonymize_policy_never_claims_pii_was_stripped
FR-E17-01,Blueprint Section 6; ISO/IEC 17025:2017 8.4.2,backend/apps/audit/context.py:4; backend/apps/audit/signals.py:2; backend/apps/equipment/views.py:67; backend/apps/reporting/tasks.py:105; backend/apps/reporting/views.py:4; backend/apps/audit/migrations/0003_partition_audit_log_entry.py:7,backend/tests/test_report_generation.py::test_the_object_key_is_versioned_so_a_correction_cannot_overwrite_the_issued_pdf
FR-E17-02,Blueprint Section 3.1; ISO/IEC 17025:2017 8.4.2,backend/apps/accounts/permissions.py:18; backend/apps/audit/models.py:5; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_a_partition_created_after_the_migration_still_refuses_a_delete
FR-E17-02,Blueprint Section 3.1; ISO/IEC 17025:2017 8.4.2,backend/apps/accounts/permissions.py:18; backend/apps/audit/models.py:5; backend/apps/audit/migrations/0004_audit_log_append_only.py:2,backend/tests/test_audit_append_only.py::test_an_insert_is_still_allowed
